#{"t_start": 1781071071.864104, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,637,41.667132
0.0,516,41.739582
0.0,513,41.809867
0.0,519,41.883552
0.0,523,41.958984
1.0,715,42.057456
0.0,514,42.135163
0.0,527,42.211344
0.0,512,42.281524
1.0,707,42.379937
2.0,882,42.503022
1.0,697,42.604434
2.0,821,42.723173
0.0,509,42.796621
1.0,620,42.879242
1.0,637,42.969271
2.0,747,43.069024
2.0,805,43.170537
0.0,508,43.240031
2.0,848,43.348974
2.0,805,43.452837
4.0,1218,43.608258
1.0,714,43.701801
2.0,838,43.812259
0.0,512,43.883212
4.0,1228,44.045279
1.0,614,44.124747
4.0,1128,44.273134
0.0,539,44.345317
1.0,688,44.435071
0.0,524,44.512255
1.0,692,44.603408
0.0,523,44.670432
0.0,521,44.73646
2.0,822,44.841872
1.0,720,44.935715
2.0,902,45.052516
0.0,532,45.120137
0.0,508,45.18523
4.0,1199,45.336509
0.0,525,45.408785
1.0,627,45.491363
1.0,641,45.572714
2.0,900,45.689263
0.0,512,45.759828
0.0,532,45.83146
0.0,501,45.903242
8.0,1489,46.103159
2.0,886,46.217325
0.0,529,45.429799
1.0,722,45.521968
0.0,521,45.58801
1.0,708,45.68373
0.0,526,45.751323
2.0,800,45.856107
1.0,640,45.939634
3.0,1024,46.071971
1.0,713,46.167538
1.0,641,46.250407
0.0,535,46.318533
4.0,1298,46.483592
0.0,540,47.00403
2.0,849,47.11777
0.0,531,47.190112
3.0,988,47.323174
1.0,633,47.404228
0.0,526,47.47529
1.0,711,47.566821
1.0,704,47.65992
1.0,689,47.747653
1.0,706,47.841037
1.0,622,47.926068
2.0,895,48.052616
2.0,886,48.177769
2.0,818,48.292402
2.0,835,48.40737
1.0,712,48.505563
1.0,719,48.599063
0.0,499,48.671592
1.0,720,48.767998
2.0,911,48.894666
2.0,878,49.018021
0.0,540,49.095564
0.0,509,49.171015
0.0,531,49.241557
1.0,644,49.327374
2.0,740,49.426981
2.0,886,49.546521
3.0,1034,49.684582
0.0,535,49.757667
0.0,515,49.824255
2.0,835,49.940037
0.0,513,50.008042
0.0,536,50.080168
0.0,521,50.154813
1.0,615,50.234339
9.0,1640,50.457892
1.0,644,50.545504
4.0,1132,50.699866
2.0,823,50.810409
1.0,705,50.906113
0.0,519,50.980276
0.0,530,51.0579
6.0,1467,51.256957
0.0,532,51.328721
3.0,950,51.458585
2.0,851,51.576091
3.0,1009,51.716382
3.0,992,51.856355
1.0,637,51.939391
0.0,516,52.008961
2.0,911,52.128789
3.0,958,52.258431
1.0,655,52.346316
1.0,621,52.432313
2.0,822,52.546743
2.0,817,52.652461
0.0,521,52.722172
3.0,934,52.864176
0.0,505,52.930417
2.0,901,53.057466
0.0,523,53.1348
0.0,523,53.210538
0.0,536,53.285574
1.0,635,53.373372
0.0,540,53.442432
0.0,517,53.517374
